owner;weapon;platform;;;;;;;;owner;;weapon;;platform;;Status
UA;Engineering Vehicles And Equipment ;KrAZ-255B with excavator;;;;;;;;;;;;220mmBureviy;;
UA;Engineering Vehicles And Equipment ;KrAZ-255B pontoon bridge layer;;;;;;;;;;;;122mm RM-70;;
UA;Engineering Vehicles And Equipment ;KrAZ-255B with KS-3575 crane;;;;;;;;;;;;23mm ZU-23;;
UA;Engineering Vehicles And Equipment ;KrAZ-6322 Master mobile workshop;;;;;;;;;;;;23mm 23 ItK 61;;
UA;Engineering Vehicles And Equipment ;GMZ-3 minelayer;;;;;;;;;;;;2K22M Tunguska-M;;
UA;Engineering Vehicles And Equipment ;PZM-2 trench-digging vehicle;;;;;;;;;;;;Stormer HVM;;
UA;Engineering Vehicles And Equipment ;UMP-350 engine heater;;;;;;;;;;;;9A310M1 TELAR;;
UA;Engineering Vehicles And Equipment ;ARS-14 decontamination and degassing vehicle;;;;;;;;;;;;9A39M1 TEL (for Buk-M1);;
UA;Engineering Vehicles And Equipment ;Ural-4320 KT-L recovery vehicle;;;;;;;;;;;;9A330 Tor TLAR (for 9K330 Tor);;
UA;Engineering Vehicles And Equipment ;BMK-460 towing and motor boat;;;;;;;;;;;;5P851A (Launcher for S-300PT-1A);;
UA;Engineering Vehicles And Equipment ;TDA-M mobile smoke generator;;;;;;;;;;;;5P85D (launcher for S-300PS);;
UA;Engineering Vehicles And Equipment ;AK-04-9A 'Porosha' airfield air conditioner based on KamAZ-5320;;;;;;;;;;;;5P85S (launcher for S-300PS);;
UA;Self-Propelled Anti-Tank Missile Systems;9P148 Konkurs ATGM carrier;;;;;;;;;;;;5P85D/S (launcher for S-300PS);;
UA;Self-Propelled Anti-Tank Missile Systems;9P149 Shturm-S ATGM carrier;;;;;;;;;;;;Launcher for S-300;;
UA;Artillery Support Vehicles And Equipment;1V13 battery command and forward observer vehicle;;;;;;;;;;;;P-14'Tall King';;
UA;Artillery Support Vehicles And Equipment;1V14 battery command and forward observer vehicle;;;;;;;;;;;;P-18 'Spoon Rest D';;
UA;Artillery Support Vehicles And Equipment;1V15 battery command and forward observer vehicle;;;;;;;;;;;;P-18 'Malakhit';;
UA;Artillery Support Vehicles And Equipment;1V16M artillery battalion command and staff vehicle;;;;;;;;;;;;79K6 'Pelikan' 3D surveillance radar;;
UA;Artillery Support Vehicles And Equipment;1V18 'Klyon-1' artillery command and forward observer vehicle;;;;;;;;;;;;P-19 'Flat Face B';;
UA;Artillery Support Vehicles And Equipment;9T452 transporter-loader (for BM-27 'Uragan' MRL);;;;;;;;;;;;P-35/37 'Bar Lock';;
UA;Towed Artillery;100mm BS-3 anti-tank gun;;;;;;;;;;;;PRV-11 'Side Net';;
UA;Towed Artillery;100mm MT-12 anti-tank gun;;;;;;;;;;;;PRV-13 'Odd Pair';;
UA;Towed Artillery;105mm L119 howitzer;;;;;;;;;;;;PRV-16 'Thin Skin B';;
UA;Towed Artillery;120mm 2B16 Nona-K gun mortar;;;;;;;;;;;;1L22 'Parol';;
UA;Towed Artillery;122mm D-30 howitzer;;;;;;;;;;;;36D6 'Tin Shield';;
UA;Towed Artillery;130mm M-46 field gun;;;;;;;;;;;;5N63S 'Flap Lid B' (for S-300PS);;
UA;Towed Artillery;152mm D-20 gun-howitzer;;;;;;;;;;;;5N63-1 'Flap Lid A' on 40V6M mast (for S-300PT);;
UA;Towed Artillery;152mm 2A36 Giatsint-B field-gun;;;;;;;;;;;;5N66M 'Clam Shell' on 40V6M mast (for S-300PT);;
UA;Towed Artillery;152mm 2A65 Msta-B howitzer;;;;;;;;;;;;R-410-7,5 tropospheric radio relay communication station;;
UA;Towed Artillery;155mm FH-70 howitzer;;;;;;;;;;;;SNAR-10 battlefield surveillance radar;;
UA;Towed Artillery;155mm TRF1 howitzer;;;;;;;;;;;;1B44-1 (RPMK-1) radiosonde weather radar;;
UA;Towed Artillery;155mm M777A2 howitzer;;;;;;;;;;;;ST-68U radar;;
UA;Towed Artillery;Unknown towed artillery;;;;;;;;;;;;PRV-16ML height-finder radar;;
UA;Self-Propelled Artillery;120mm Bars-8MMK;;;;;;;;;;;;P-18ML long-range VHF surveillance radar;;
UA;Self-Propelled Artillery;120mm BTR-3M2;;;;;;;;;;;;AN-MPQ-64 Sentinel radr;;
UA;Self-Propelled Artillery;120mm 2S9 Nona;;;;;;;;;;;;TRML-4D multi-functional radar (for IRIS-T SLM);;
UA;Self-Propelled Artillery;120mm BRM-1K with 2S9 Nona turret;;;;;;;;;;;;AN/TPQ-36 weapons location radar;;
UA;Self-Propelled Artillery;120mm M1064A3;;;;;;;;;;;;AN/TPQ-37 weapons location radar;;
UA;Self-Propelled Artillery;120mm Alakran;;;;;;;;;;;;AN/TPQ-49 lightweight counter mortar radar;;
UA;Self-Propelled Artillery;122mm 2S1 Gvozdika;;;;;;;;;;;;AN/TPQ-50 counter-battery radar;;
UA;Self-Propelled Artillery;152mm 2S3 Akatsiya;;;;;;;;;;;;ARTHUR counter-battery radar;;
UA;Self-Propelled Artillery;152mm 2S5 Giatsint-S;;;;;;;;;;;;Unknown counter mortar/battery radar;;
UA;Self-Propelled Artillery;152mm 2S19 Msta-S;;;;;;;;;;;;NOTA;;
UA;Self-Propelled Artillery;155mm M109A3/A4/A5/A6/L;;;;;;;;;;;;Bukovel-AD EW system;;
UA;Self-Propelled Artillery;155mmAHS Krab;;;;;;;;;;;;MiG-29 fighter aircraft;;
UA;Self-Propelled Artillery;203mm 2S7 Pion;;;;;;;;;;;;Su-27 fighter aircraft;;
UA;Self-Propelled Artillery;155mm ShKH Zuzana 2;;;;;;;;;;;;L-39 Albatros;;
UA;Self-Propelled Artillery;155mm Caesar 6x6;;;;;;;;;;;;Mi-2 training helicopter;;
UA;Self-Propelled Artillery;155mm Caesar 8x8;;;;;;;;;;;;Mi-14PS maritime helicopter;;
UA;Self-Propelled Artillery;155mm Panzerhaubitze 2000;;;;;;;;;;;;Mi-17V5;;
UA;Self-Propelled Artillery;152mm ShKH vz. 77 DANA;;;;;;;;;;;;Mi-24 attack helicopter;;
UA;Self-Propelled Artillery;155mm AS-90;;;;;;;;;;;;Airbus H225 transport helicopter;;
UA;Self-Propelled Artillery;Unknown SPG;;;;;;;;;;;;Bayraktar TB2;;
UA;Multiple Rocket Launchers;80mm B-8 makeshift MRL;;;;;;;;;;;;Avenger;;
UA;Multiple Rocket Launchers;122mm BM-21 Grad;;;;;;;;;;;;A1-SM Fury;;
UA;Multiple Rocket Launchers;122mm Bastion-1;;;;;;;;;;;;ASU-1 Valkyrja;;
UA;Multiple Rocket Launchers;220mm BM-27 Uragan;;;;;;;;;;;;Leleka-100;;
UA;Multiple Rocket Launchers;220mmBureviy;;;;;;;;;;;;Spaitech Sparrow;;
UA;Multiple Rocket Launchers;122mm RM-70;;;;;;;;;;;;Spectator-M1;;
UA;Anti-Aircraft Guns;23mm ZU-23;;;;;;;;;;;;Dovbush T10;;
UA;Anti-Aircraft Guns;23mm 23 ItK 61;;;;;;;;;;;;PD-1;;
UA;Self-Propelled Anti-Aircraft Guns ;BTR-ZD Skrezhet;;;;;;;;;;;;UJ-22;;
UA;Self-Propelled Anti-Aircraft Guns ;ZSU-23-4 Shilka;;;;;;;;;;;;ITEC Skif;;
UA;Self-Propelled Anti-Aircraft Guns ;2K22M Tunguska-M;;;;;;;;;;;;Shark;;
UA;Surface-To-Air Missile Systems ;9K33 Osa;;;;;;;;;;;;Mara-2M;;
UA;Surface-To-Air Missile Systems ;9K35 Strela-10;;;;;;;;;;;;Chaklun;;
UA;Surface-To-Air Missile Systems ;Stormer HVM;;;;;;;;;;;;Orlik;;
UA;Surface-To-Air Missile Systems ;9A310M1 TELAR;;;;;;;;;;;;Primoco One 150;;
UA;Surface-To-Air Missile Systems ;9A39M1 TEL (for Buk-M1);;;;;;;;;;;;FlyEye;;
UA;Surface-To-Air Missile Systems ;9A330 Tor TLAR (for 9K330 Tor);;;;;;;;;;;;Penguin C;;
UA;Surface-To-Air Missile Systems ;5P851A (Launcher for S-300PT-1A);;;;;;;;;;;;Poseidon H10;;
UA;Surface-To-Air Missile Systems ;5P85D (launcher for S-300PS);;;;;;;;;;;;EOS-C VTOL;;
UA;Surface-To-Air Missile Systems ;5P85S (launcher for S-300PS);;;;;;;;;;;;Bayraktar Mini;;
UA;Surface-To-Air Missile Systems ;5P85D/S (launcher for S-300PS);;;;;;;;;;;;AeroVironment RQ-20 Puma;;
UA;Surface-To-Air Missile Systems ;Launcher for S-300;;;;;;;;;;;;AeroVironmentQuantix Recon UAV;;
UA;Radars And Communications Equipment;P-14'Tall King';;;;;;;;;;;;Boeing Insitu ScanEagle 2;;
UA;Radars And Communications Equipment;P-18 'Spoon Rest D';;;;;;;;;;;;Malloy Aeronautics T150 cargo UAV;;
UA;Radars And Communications Equipment;P-18 'Malakhit';;;;;;;;;;;;Unknown reconnaissance UAV;;
UA;Radars And Communications Equipment;79K6 'Pelikan' 3D surveillance radar;;;;;;;;;;;;Krivak III-class frigate;;
UA;Radars And Communications Equipment;P-19 'Flat Face B';;;;;;;;;;;;Gyurza-M-class gunboat;;
UA;Radars And Communications Equipment;P-35/37 'Bar Lock';;;;;;;;;;;;Island-class patrol boat;;
UA;Radars And Communications Equipment;PRV-11 'Side Net';;;;;;;;;;;;Stenka-class patrol boat (Operated by the Sea Guard);;
UA;Radars And Communications Equipment;PRV-13 'Odd Pair';;;;;;;;;;;;Zhuk-class patrol boat (Sea Guard);;
UA;Radars And Communications Equipment;PRV-16 'Thin Skin B';;;;;;;;;;;;Sorum-class seagoing tugboat;;
UA;Radars And Communications Equipment;1L22 'Parol';;;;;;;;;;;;Project 376 Yaroslavets-class general purpose tugboat;;
UA;Radars And Communications Equipment;36D6 'Tin Shield';;;;;;;;;;;;Project 1258 Yevgenya-class minesweeper;;
UA;Radars And Communications Equipment;5N63S 'Flap Lid B' (for S-300PS);;;;;;;;;;;;Pr.304 Amur-class command ship;;
UA;Radars And Communications Equipment;5N63-1 'Flap Lid A' on 40V6M mast (for S-300PT);;;;;;;;;;;;Project 58181 Centaur-class fast assault boat;;
UA;Radars And Communications Equipment;5N66M 'Clam Shell' on 40V6M mast (for S-300PT);;;;;;;;;;;;UMS-600 patrol boat (Sea Guard);;
UA;Radars And Communications Equipment;R-410-7,5 tropospheric radio relay communication station;;;;;;;;;;;;UMS-1000 patrol boat (Sea Guard);;
UA;Radars And Communications Equipment;SNAR-10 battlefield surveillance radar;;;;;;;;;;;;Project 50030 Kalkan-class patrol boat (Sea Guard);;
UA;Radars And Communications Equipment;1B44-1 (RPMK-1) radiosonde weather radar;;;;;;;;;;;;Unknown patrol boat (Sea Guard);;
UA;Radars And Communications Equipment;ST-68U radar;;;;;;;;;;;;KrAZ-214;;
UA;Radars And Communications Equipment;PRV-16ML height-finder radar;;;;;;;;;;;;KrAZ-260;;
UA;Radars And Communications Equipment;P-18ML long-range VHF surveillance radar;;;;;;;;;;;;KrAZ-6322;;
UA;Radars And Communications Equipment;AN-MPQ-64 Sentinel radr;;;;;;;;;;;;KrAZ-6322 Raptor;;
UA;Radars And Communications Equipment;TRML-4D multi-functional radar (for IRIS-T SLM);;;;;;;;;;;;KrAZ-6446;;
UA;Radars And Communications Equipment;AN/TPQ-36 weapons location radar;;;;;;;;;;;;KrAZ-5233;;
UA;Radars And Communications Equipment;AN/TPQ-37 weapons location radar;;;;;;;;;;;;ATs-10-260 Fuel Tanker;;
UA;Radars And Communications Equipment;AN/TPQ-49 lightweight counter mortar radar;;;;;;;;;;;;Bogdan-5316;;
UA;Radars And Communications Equipment;AN/TPQ-50 counter-battery radar;;;;;;;;;;;;Bogdan-63172;;
UA;Radars And Communications Equipment;ARTHUR counter-battery radar;;;;;;;;;;;;Bogdan-63172 'Kozak';;
UA;Radars And Communications Equipment;Unknown counter mortar/battery radar;;;;;;;;;;;;GAZ-53;;
UA;Jammers And Deception Systems ;NOTA;;;;;;;;;;;;GAZ-63;;
UA;Jammers And Deception Systems ;Bukovel-AD EW system;;;;;;;;;;;;GAZ-66 tanker;;
UA;Aircraft;MiG-29 fighter aircraft;;;;;;;;;;;;GAZ-3308 tanker;;
UA;Aircraft;Su-27 fighter aircraft;;;;;;;;;;;;ZiL-130;;
UA;Aircraft;Su-25 close air support aircraft;;;;;;;;;;;;ZiL-130 tanker;;
UA;Aircraft;Su-24M strike aircraft;;;;;;;;;;;;ZiL-157;;
UA;Aircraft;Su-24MR tactical reconnaissance aircraft;;;;;;;;;;;;ZiL-181;;
UA;Aircraft;L-39 Albatros;;;;;;;;;;;;ZiL-4331;;
UA;Aircraft;Unknown fighter jet;;;;;;;;;;;;Ural tanker;;
UA;Aircraft;Il-76 transport aircraft;;;;;;;;;;;;MAZ-537;;
UA;Aircraft;An-26 transport aircraft;;;;;;;;;;;;MAZ AC-8-500A Tanker;;
UA;Helicopters;Mi-2 training helicopter;;;;;;;;;;;;MAZ-5336;;
UA;Helicopters;Mi-8 transport helicopter;;;;;;;;;;;;MAZ-5337 fuel tanker;;
UA;Helicopters;Mi-14PS maritime helicopter;;;;;;;;;;;;FMTV M1083A1P2;;
UA;Helicopters;Mi-17V5;;;;;;;;;;;;Jelcz P882 D53;;
UA;Helicopters;Mi-24P attack helicopter;;;;;;;;;;;;Mercedes-Benz Unimog U1300L ambulance;;
UA;Helicopters;Mi-24 attack helicopter;;;;;;;;;;;;Pinzgauer Vector 718;;
UA;Helicopters;Airbus H225 transport helicopter;;;;;;;;;;;;Land Rover Defender;;
UA;Unmanned Combat Aerial Vehicles;Bayraktar TB2;;;;;;;;;;;;Armoured Volkswagen Amarok pickup truck;;
UA;Unmanned Combat Aerial Vehicles;Avenger;;;;;;;;;;;;Bogdan-2251 ambulance pickup truck;;
UA;Reconnaissance Unmanned Aerial Vehicles;A1-SM Fury;;;;;;;;;;;;Armed pickup truck;;
UA;Reconnaissance Unmanned Aerial Vehicles;ASU-1 Valkyrja;;;;;;;;;;;;Peugeot P4;;
UA;Reconnaissance Unmanned Aerial Vehicles;Leleka-100;;;;;;;;;;;;DAF YAD 4442 NT;;
UA;Reconnaissance Unmanned Aerial Vehicles;Spaitech Sparrow;;;;;;;;;;;;Iveco Magirus 90-16 AW 4x4;;
UA;Reconnaissance Unmanned Aerial Vehicles;Spectator-M1;;;;;;;;;;;;Iveco VM90;;
UA;Reconnaissance Unmanned Aerial Vehicles;Dovbush T10;;;;;;;;;;;;Downgraded Mowag Eagle II;;
UA;Reconnaissance Unmanned Aerial Vehicles;PD-1;;;;;;;;;;;;Unknown truck;;
UA;Reconnaissance Unmanned Aerial Vehicles;UJ-22;;;;;;;;;;;;Unknown vehicle;;
UA;Reconnaissance Unmanned Aerial Vehicles;ITEC Skif;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;Shark;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;Mara-2M;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;Chaklun;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;Orlik;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;Primoco One 150;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;FlyEye;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;Penguin C;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;Poseidon H10;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;EOS-C VTOL;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;Bayraktar Mini;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;AeroVironment RQ-20 Puma;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;AeroVironmentQuantix Recon UAV;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;Boeing Insitu ScanEagle 2;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;Malloy Aeronautics T150 cargo UAV;;;;;;;;;;;;;;
UA;Reconnaissance Unmanned Aerial Vehicles;Unknown reconnaissance UAV;;;;;;;;;;;;;;
UA;Naval Ships;Krivak III-class frigate;;;;;;;;;;;;;;
UA;Naval Ships;Gyurza-M-class gunboat;;;;;;;;;;;;;;
UA;Naval Ships;Island-class patrol boat;;;;;;;;;;;;;;
UA;Naval Ships;Stenka-class patrol boat (Operated by the Sea Guard);;;;;;;;;;;;;;
UA;Naval Ships;Zhuk-class patrol boat (Sea Guard);;;;;;;;;;;;;;
UA;Naval Ships;Sorum-class seagoing tugboat;;;;;;;;;;;;;;
UA;Naval Ships;Project 376 Yaroslavets-class general purpose tugboat;;;;;;;;;;;;;;
UA;Naval Ships;Project 1258 Yevgenya-class minesweeper;;;;;;;;;;;;;;
UA;Naval Ships;Pr.304 Amur-class command ship;;;;;;;;;;;;;;
UA;Naval Ships;Project 58181 Centaur-class fast assault boat;;;;;;;;;;;;;;
UA;Naval Ships;UMS-600 patrol boat (Sea Guard);;;;;;;;;;;;;;
UA;Naval Ships;UMS-1000 patrol boat (Sea Guard);;;;;;;;;;;;;;
UA;Naval Ships;Project 50030 Kalkan-class patrol boat (Sea Guard);;;;;;;;;;;;;;
UA;Naval Ships;Unknown patrol boat (Sea Guard);;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;KrAZ-214;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;KrAZ-255B;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;KrAZ-260;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;KrAZ-6322;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;KrAZ-6322 Raptor;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;KrAZ-6446;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;KrAZ-5233;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;ATs-10-260 Fuel Tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Bogdan-5316;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Bogdan-63172;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Bogdan-63172 'Kozak';;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;9T217 transloader (for 9K33 Osa);;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;GAZ-53;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;GAZ-63;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;GAZ-66;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;GAZ-66 tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;GAZ-3308;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;GAZ-3308 tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;ZiL-130;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;ZiL-130 tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;ZiL-131;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;ZiL-131 tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;ZiL-157;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;ZiL-181;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;ZiL-4331;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Ural-375D;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Ural-4320;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Ural tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;KamAZ 6x6;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;KamAZ 6x6 tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;MAZ-537;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;MAZ AC-8-500A Tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;MAZ-5336;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;MAZ-5337 fuel tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;MAZ TZ-500 tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;FMTV M1083A1P2;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Jelcz P882 D53;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Mercedes-Benz Unimog U1300L ambulance;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Pinzgauer Vector 718;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Land Rover Defender;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;UAZ-469 jeep;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;UAZ-31514;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;UAZ-452 van;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Armoured Volkswagen Amarok pickup truck;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Bogdan-2251 ambulance pickup truck;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Armed pickup truck;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Peugeot P4;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;DAF YAD 4442 NT;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Iveco Magirus 90-16 AW 4x4;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Iveco VM90;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Downgraded Mowag Eagle II;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Unknown truck;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Unknown vehicle;;;;;;;;;;;;;;
