weapon;platform
Tanks;T-55A
Tanks;T-62 Obr. 1967
Tanks;T-62M
Tanks;T-62M Obr. 2022
Tanks;T-62MV
Tanks;T-62MV Obr. 2022
Tanks;T-64A
Tanks;T-64BV
Tanks;T-72 'Ural'
Tanks;T-72A
Tanks;T-72AV
Tanks;T-72B
Tanks;T-72B Obr. 1989
Tanks;T-72B Obr. 2022
Tanks;T-72BA
Tanks;T-72B3
Tanks;T-72B3 Obr. 2014
Tanks;T-72B3 Obr. 2016
Tanks;T-72B3 Obr. 2022
Tanks;Unknown T-72
Tanks;T-80B
Tanks;T-80BV
Tanks;T-80BV Obr. 2022
Tanks;T-80U
Tanks;T-80UK
Tanks;T-80UE-1
Tanks;T-80UM2
Tanks;T-80BVM
Tanks;T-80BVM Obr. 2022
Tanks;Unknown T-80
Tanks;T-90A
Tanks;T-90AK
Tanks;T-90S
Tanks;T-90M
Tanks;Unknown tank
Armoured Fighting Vehicles;BMPT Terminator
Armoured Fighting Vehicles;BRM-1(K) reconnaissance vehicle
Armoured Fighting Vehicles;BRM-1K Obr. 2021
Armoured Fighting Vehicles;BRDM-2
Armoured Fighting Vehicles;BRDM-2M/A
Armoured Fighting Vehicles;BRDM-2RKhb chemical reconnaissance vehicle
Armoured Fighting Vehicles;BRDM-2-based ZS-82 PsyOps vehicle
Armoured Fighting Vehicles;BTR-80-based ZS-88 PsyOps vehicle
Armoured Fighting Vehicles;BTR-80 with 57mm UB-32 unguided aircraft rocket pods
Armoured Fighting Vehicles;MT-LB
Armoured Fighting Vehicles;MT-LBVM and MT-LBVMK
Armoured Fighting Vehicles;MT-LB with ZU-23 AA gun
Armoured Fighting Vehicles;MT-LB With 14.5mm BPU-1 Turret
Armoured Fighting Vehicles;MT-LB with 14.5mm 2M-7 naval gun mount
Armoured Fighting Vehicles;MT-LB withAZP S-60 AA gun
Armoured Fighting Vehicles;MT-LB with 100mm MT-12 anti-tank gun
Armoured Fighting Vehicles;MT-LB with 82-mm automatic mortar 2B9 Vasilek
Armoured Fighting Vehicles;MT-LB with 25mm 2M-3 naval gun
Armoured Fighting Vehicles;MT-LBu
Armoured Fighting Vehicles;Vityaz DT-10PM articulated tracked carrier
Armoured Fighting Vehicles;Vityaz DT-30 articulated tracked carrier
Armoured Fighting Vehicles;GAZ-3344-20 'Aleut' articulated tracked carrier
Armoured Fighting Vehicles;2S1 with ZU-23 AA gun
Armoured Fighting Vehicles;Unknown BTR-D/BMD-2
Armoured Fighting Vehicles;BMM-80 ambulance
Armoured Fighting Vehicles;Unknown AFV
Infantry Fighting Vehicles;BMP-1(P)
Infantry Fighting Vehicles;BMP-1AM
Infantry Fighting Vehicles;BMP-2(K)
Infantry Fighting Vehicles;BMP-2M Berezhok
Infantry Fighting Vehicles;BMP-2 675-sb3KDZ
Infantry Fighting Vehicles;Unknown BMP-1/2
Infantry Fighting Vehicles;BMP-3
Infantry Fighting Vehicles;BMP-3 688M sb. 3KDZ
Infantry Fighting Vehicles;MT-LBM 6MB
Infantry Fighting Vehicles;BMD-2
Infantry Fighting Vehicles;BMD-4M
Infantry Fighting Vehicles;BTR-82A(M)
Armoured Personnel Carriers;BTR-50
Armoured Personnel Carriers;BTR-60PB
Armoured Personnel Carriers;BTR-70
Armoured Personnel Carriers;BTR-70M
Armoured Personnel Carriers;BTR-80
Armoured Personnel Carriers;Unknown BTR-80/BTR-82A
Armoured Personnel Carriers;Remdiesel Z-STS Akhmat
Armoured Personnel Carriers;Ural-VV
Armoured Personnel Carriers;BTR-D
Armoured Personnel Carriers;BTR-MDM Rakushka
Armoured Personnel Carriers;BMO-T
Mine-Resistant Ambush Protected ;KamAZ-63968 Typhoon
Mine-Resistant Ambush Protected ;KamAZ-435029 Patrol-A
Mine-Resistant Ambush Protected ;K-53949 Typhoon-K
Mine-Resistant Ambush Protected ;K-53949 Linza
Infantry Mobility Vehicles;BPM-97 Vystrel
Infantry Mobility Vehicles;GAZ Tigr
Infantry Mobility Vehicles;GAZ Tigr-M
Infantry Mobility Vehicles;AMN-590951
Infantry Mobility Vehicles;Iveco LMV Rys
Infantry Mobility Vehicles;GAZ-3937 Vodnik
Infantry Mobility Vehicles;KamAZ Patrol
Command Posts And Communications Stations ;BMP-1KSh command and staff vehicle
Command Posts And Communications Stations ;BMD-1KSh-A command vehicle
Command Posts And Communications Stations ;BTR-60PU-12command vehicle
Command Posts And Communications Stations ;R-145BM command vehicle
Command Posts And Communications Stations ;R-145BM1 command vehicle
Command Posts And Communications Stations ;R-145BMA command vehicle
Command Posts And Communications Stations ;R-142NSA command and signals vehicle
Command Posts And Communications Stations ;R-149MA1 command and staff vehicle
Command Posts And Communications Stations ;R-149MA3 command and staff vehicle
Command Posts And Communications Stations ;APE-5 command post
Command Posts And Communications Stations ;MSh-5350.1 command vehicle
Command Posts And Communications Stations ;9S470M1 (or variant thereof) command post (for Buk-M1/2)
Command Posts And Communications Stations ;Barnaul-T 9С932-1 automated system for air defence units
Command Posts And Communications Stations ;S932-2 intelligence, control and command vehicle (for Barnaul-T)
Command Posts And Communications Stations ;Command vehicle forPodlet-K1 low-altitude S-band surveillance radar
Command Posts And Communications Stations ;K6A command post for S-400
Command Posts And Communications Stations ;R-149AKSh-1 command and signals vehicle
Command Posts And Communications Stations ;R-149BMRgcommand and signals vehicle
Command Posts And Communications Stations ;R-161 signals vehicle
Command Posts And Communications Stations ;R-166-0.5 signals vehicle
Command Posts And Communications Stations ;P-240digital communications vehicle
Command Posts And Communications Stations ;P-260 Redut-2US communication system
Command Posts And Communications Stations ;P-260-U signals vehicle (for Redut-2US signal and communications system)
Command Posts And Communications Stations ;R-431AM antenna module for the Redut-2US communications system
Command Posts And Communications Stations ;R-419L1 communications station
Command Posts And Communications Stations ;MP-1IM signals vehicle
Command Posts And Communications Stations ;MP-2IM signals vehicle
Command Posts And Communications Stations ;R-439-MD2 SatCom Station
Command Posts And Communications Stations ;R-441 SatCom station
Command Posts And Communications Stations ;Auriga-1.2V portable satellite communications station
Command Posts And Communications Stations ;R-381T2M radio monitoring station from a modernised R-381TM Taran-M automatic signals intelligence complex
Command Posts And Communications Stations ;Orlan-10 UAV control station
Command Posts And Communications Stations ;Lancet loitering munition launcher and control station
Command Posts And Communications Stations ;P-230T command vehicle
Command Posts And Communications Stations ;MPUS-K mobile command post
Command Posts And Communications Stations ;Unknown communications station based on the KamAZ 6x6
Command Posts And Communications Stations ;Unknown UAV control station
Command Posts And Communications Stations ;Unknown communications station
Engineering Vehicles And Equipment ;UR-67 mine clearing charge on BTR-D APC
Engineering Vehicles And Equipment ;UR-77 'Meteorit'  mine clearing vehicle
Engineering Vehicles And Equipment ;GMZ-3 minelayer
Engineering Vehicles And Equipment ;RKhM-6 Povozka CBRN reconnaissance vehicle
Engineering Vehicles And Equipment ;BAT-2 heavy engineering vehicle
Engineering Vehicles And Equipment ;MDK-3 trench-digging vehicle
Engineering Vehicles And Equipment ;PZM-2 trench-digging vehicle
Engineering Vehicles And Equipment ;BTS-4A armoured recovery vehicle
Engineering Vehicles And Equipment ;BREM-1 armoured recovery vehicle
Engineering Vehicles And Equipment ;BREM-2 armoured recovery vehicle
Engineering Vehicles And Equipment ;BREM-Ch ''BREM-4'' armoured recovery vehicle
Engineering Vehicles And Equipment ;BREM-D armoured recovery vehicle
Engineering Vehicles And Equipment ;BREM-K armoured recovery vehicle
Engineering Vehicles And Equipment ;REM-KL recovery vehicle
Engineering Vehicles And Equipment ;BREM-L armoured recovery vehicle
Engineering Vehicles And Equipment ;MTP-A2 recovery vehicle
Engineering Vehicles And Equipment ;MTP-A2.1 recovery vehicle
Engineering Vehicles And Equipment ;Ural-4320 KET-L recovery vehicle
Engineering Vehicles And Equipment ;Ural-4320 KT-L recovery vehicle
Engineering Vehicles And Equipment ;KrAZ-260KT-L recovery vehicle
Engineering Vehicles And Equipment ;IMR-2(M) combat engineering vehicle
Engineering Vehicles And Equipment ;IMR-3M combat engineering vehicle
Engineering Vehicles And Equipment ;PTS-2  tracked amphibious transport
Engineering Vehicles And Equipment ;MTU-72 bridge layer
Engineering Vehicles And Equipment ;TMM-3 bridge layer
Engineering Vehicles And Equipment ;PMP floating bridge
Engineering Vehicles And Equipment ;PP-2005 floating bridge
Engineering Vehicles And Equipment ;Pontoon bridge
Engineering Vehicles And Equipment ;BMK-130M/BMK-150 towing and motor boat
Engineering Vehicles And Equipment ;BMK-460 towing and motor boat
Engineering Vehicles And Equipment ;BMK-MT towing and motor boat
Engineering Vehicles And Equipment ;BMK-MOtowing and motor boat
Engineering Vehicles And Equipment ;KrAZ-255B with excavator
Engineering Vehicles And Equipment ;KamAZ-5350 with EOV-3523 excavator
Engineering Vehicles And Equipment ;KamAZ-5350 with KS-45719-7M crane
Engineering Vehicles And Equipment ;Ural-4320 with KS-3574M3 or KS-3574M crane
Engineering Vehicles And Equipment ;Ural-375D with 8T210 crane
Engineering Vehicles And Equipment ;KamAZ-63501 with KS-55729-7M 32-ton crane
Engineering Vehicles And Equipment ;KamAZ KMV-10V boom crane truck
Engineering Vehicles And Equipment ;Ural-4320 with EOV-3521 excavator
Engineering Vehicles And Equipment ;ED2x30-T400-3RA mobile generator
Engineering Vehicles And Equipment ;Mobile generator forPodlet-K1 low-altitude S-band surveillance radar
Engineering Vehicles And Equipment ;MTO-UB1 maintenance vehicle
Engineering Vehicles And Equipment ;MTO-UB2maintenance vehicle
Engineering Vehicles And Equipment ;MTO-AT mobile workshop
Engineering Vehicles And Equipment ;MTO-AG-3M mobile workshop
Engineering Vehicles And Equipment ;ARS-14 decontamination and degassing vehicle
Engineering Vehicles And Equipment ;Uran-6 mine-clearing robotic system
Engineering Vehicles And Equipment ;ISDM Zemledeliye remote mine-laying system
Engineering Vehicles And Equipment ;ZiL-131 UMZ mine laying vehicle
Engineering Vehicles And Equipment ;TDA-3 mobile smoke generator
Engineering Vehicles And Equipment ;APA-80 engine starting vehicle
Engineering Vehicles And Equipment ;MZA-M.1 battery charge and repair workshop
Self-Propelled Anti-Tank Missile Systems;9P148 Konkurs
Self-Propelled Anti-Tank Missile Systems;9P149 Shturm-S
Self-Propelled Anti-Tank Missile Systems;9P163M-1 Kornet-T
Artillery Support Vehicles And Equipment;V110 BM-21 Grad battery command vehicle
Artillery Support Vehicles And Equipment;1V13(M) battery fire control center
Artillery Support Vehicles And Equipment;1V14 battery command and forward observer vehicle
Artillery Support Vehicles And Equipment;V15M fire control and observation vehicle
Artillery Support Vehicles And Equipment;V16battalion fire direction vehicle
Artillery Support Vehicles And Equipment;V18 'Klyon-1' artillery command and forward observer vehicle
Artillery Support Vehicles And Equipment;1V119 artillery fire direction vehicle
Artillery Support Vehicles And Equipment;V1003 command and observation vehicle (for 1V198 artillery fire control system)
Artillery Support Vehicles And Equipment;9T452 transporter-loader (for BM-27 Uragan MRL)
Artillery Support Vehicles And Equipment;TZM 9T234-2 transporter-loader (for BM-30 Smerch)
Artillery Support Vehicles And Equipment;TZM-T reloader vehicle (for TOS-1A)
Artillery Support Vehicles And Equipment;PRP-4(M) artillery reconnaissance vehicle
Artillery Support Vehicles And Equipment;PRP-4A Argus artillery reconnaissance vehicle
Towed Artillery ;82mm 2B9 Vasilek automatic gun mortar
Towed Artillery ;100mm MT-12 anti-tank gun
Towed Artillery ;120mm 2B16 Nona-K gun mortar
Towed Artillery ;122mm D-30 howitzer
Towed Artillery ;152mm D-20 gun-howitzer
Towed Artillery ;152mm 2A65 Msta-B howitzer
Towed Artillery ;152mm2A36 Giatsint-B field-gun
Towed Artillery ;Unknown towed artillery
Self-Propelled Artillery ;120mm 2S9 Nona
Self-Propelled Artillery ;120mm 2S23 Nona-SVK
Self-Propelled Artillery ;120mm 2S34 Khosta
Self-Propelled Artillery ;122mm 2S1 Gvozdika
Self-Propelled Artillery ;152mm 2S3(M) Akatsiya
Self-Propelled Artillery ;152mm2S5 Giatsint-S
Self-Propelled Artillery ;152mm 2S19 Msta-S
Self-Propelled Artillery ;152mm 2S33 Msta-SM2
Self-Propelled Artillery ;203mm 2S7(M) Pion/Malka
Self-Propelled Artillery ;240mm 2S4 Tyulpan
Self-Propelled Artillery ;Unknown SPG
Multiple Rocket Launchers ;122mm BM-21 Grad
Multiple Rocket Launchers ;122mm 9P138 Grad-1
Multiple Rocket Launchers ;122mm 2B26 Grad-K
Multiple Rocket Launchers ;MT-LB with 140mm Ogon-18 MRLS
Multiple Rocket Launchers ;220mm BM-27 Uragan
Multiple Rocket Launchers ;300mm BM-30 Smerch
Anti-Aircraft Guns ;23mm ZU-23-2
Anti-Aircraft Guns ;57mm AZP S-60
Self-Propelled Anti-Aircraft Guns ;BTR-ZD Skrezhet
Self-Propelled Anti-Aircraft Guns ;ZSU-23-4 Shilka
Self-Propelled Anti-Aircraft Guns ;2K22M1 Tunguska
Surface-To-Air Missile Systems ;9K33 Osa
Surface-To-Air Missile Systems ;9K35 Strela-10
Surface-To-Air Missile Systems ;-2)
Surface-To-Air Missile Systems ;9A39M1-2 TEL (for Buk-M1-2)
Surface-To-Air Missile Systems ;)
Surface-To-Air Missile Systems ; 
Surface-To-Air Missile Systems ;9A330 TLAR (for 9K330 Tor)
Surface-To-Air Missile Systems ;9A331 TLAR (for 9K331 Tor-M1)
Surface-To-Air Missile Systems ;9A331M TLAR (for 9K332 Tor-M2)
Surface-To-Air Missile Systems ;K331MDT TLAR Tor-M2DT
Surface-To-Air Missile Systems ;Unknown Tor TLAR
Surface-To-Air Missile Systems ;Pantsir-S1
Surface-To-Air Missile Systems ;5P85SD/SM (launcher for S-300 PMU(-1))
Surface-To-Air Missile Systems ;9A83M2 TELAR (forS-300V4)
Surface-To-Air Missile Systems ;9A84-2 TEL (forS-300V4)
Surface-To-Air Missile Systems ;5P85T2 (launcher for S-400)
Surface-To-Air Missile Systems ;5P85SM2-01 (launcher for S-400)
Radars ;9S36 (for Buk-M2)
Radars ;S18 Kupol (for Buk-M1-2/M2)
Radars ;S18М1(-2) (for Buk-M2)
Radars ;S18М1(-3) (for Buk-M3)
Radars ;9S36M (for Buk-M3)
Radars ;S32M1 (forS-300V)
Radars ;S19M2 (for S-300V)
Radars ;N63S “Flap Lid B” engagement and tracking radar of the S-300
Radars ;N6A (for S-400)
Radars ;PPRU-1(M) '9S80(-1)' 'Sborka' (for 9K35 Strela-10)
Radars ;Repeynik portable counter-UAS radar
Radars ;Fara ground surveillance radar
Radars ;1L271 Aistyonok portable mortar locating reconnaissance radar
Radars ;Sobolyatnik 1L277 portable ground reconnaissance radar
Radars ;SNAR-10M1 battlefield surveillance radar
Radars ;1L219 (for Zoopark counter-battery radar complex)
Radars ;L259(for Zoopark-1 counter-battery radar complex)
Radars ;1L261 (for 1L260 Zoopark-1M counter-battery radar complex)
Radars ;P-18T surveillance radar
Radars ;P-18-2 2D VHF surveillance radar
Radars ;Ya6-K1 Podlet-K1 low-altitude S-band surveillance radar
Radars ;1L119 Nebo-SVU VHF multi-functional radar
Radars ;Zh6U Nebo-U air surveillance radar
Radars ;RL239 Ark-1(M) counter-battery radar
Radars ;Predel coastal defence radar
Radars ;Unknown radar
Jammers And Deception Systems ;BMVjamming station
Jammers And Deception Systems ;R-330BMV and R-394BMV Borisoglebsk-2B
Jammers And Deception Systems ;R-330ZH Zhitel
Jammers And Deception Systems ;R-330M1P Diabazol
Jammers And Deception Systems ;R-934UM
Jammers And Deception Systems ;R-934B 'Sinitsa' automated jamming station
Jammers And Deception Systems ;1L262E Rtut-BM
Jammers And Deception Systems ;Torn(-MDM)
Jammers And Deception Systems ;Silok-01 counter-UAV system
Jammers And Deception Systems ;Strizh-3 counter-UAV system
Jammers And Deception Systems ;1RL257 Krasukha-4 (command post)
Jammers And Deception Systems ;Leer-2 electronic warfare system
Jammers And Deception Systems ;Leer-3 electronic warfare system
Jammers And Deception Systems ;RLK-MC-A (ROSC-1) counter-UAV system
Jammers And Deception Systems ;RB-636AM2 Svet-KU EW system
Jammers And Deception Systems ;Palantin EW system
Jammers And Deception Systems ;RP-377LA Lorandit
Jammers And Deception Systems ;Unknown EW system
Aircraft;MiG-31BM fighter aircraft
Aircraft;Su-30SM multirole aircraft
Aircraft;Su-35S multirole aircraft
Aircraft;Su-25 close air support aircraft
Aircraft;Su-24M strike aircraft
Aircraft;Su-24MR tactical reconnaissance aircraft
Aircraft;Su-24M/MR strike/tactical reconnaissance aircraft
Aircraft;Su-34 strike aircraft
Aircraft;Su-34M strike aircraft
Aircraft;Unknown fighter jet
Aircraft;Tu-22M3 strategic bomber
Aircraft;Tu-95MS strategic bomber
Aircraft;Il-22 airborne command post
Aircraft;An-26 transport aircraft
Aircraft;Il-76 transport aircraft
Helicopters;Mi-8 transport helicopter
Helicopters;Mi-8MTPR-1 electronic warfare helicopter
Helicopters;Mi-24P attack helicopter
Helicopters;Mi-24V/P/35M attack helicopter
Helicopters;Mi-35M attack helicopter
Helicopters;Mi-28 attack helicopter
Helicopters;Ka-52 Alligator attack helicopter
Helicopters;Unknown helicopter
Unmanned Combat Aerial Vehicles;Orion
Unmanned Combat Aerial Vehicles;Korsar
Unmanned Combat Aerial Vehicles;Forpost-RU
Unmanned Combat Aerial Vehicles;Mohajer-6
Unmanned Combat Aerial Vehicles;Orlan-10 UCAV
Unmanned Combat Aerial Vehicles;6
Reconnaissance Unmanned Aerial Vehicles;Forpost
Reconnaissance Unmanned Aerial Vehicles;Orlan-10
Reconnaissance Unmanned Aerial Vehicles;Orlan-10 jamming UAV
Reconnaissance Unmanned Aerial Vehicles;'Orlan-20' ''Kartograf''
Reconnaissance Unmanned Aerial Vehicles;Orlan-30
Reconnaissance Unmanned Aerial Vehicles;Granat-3
Reconnaissance Unmanned Aerial Vehicles;Granat-4
Reconnaissance Unmanned Aerial Vehicles;Eleron-3
Reconnaissance Unmanned Aerial Vehicles;Eleron-3SV
Reconnaissance Unmanned Aerial Vehicles;Eleron-10
Reconnaissance Unmanned Aerial Vehicles;Eleron T28ME
Reconnaissance Unmanned Aerial Vehicles;Takhion
Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е
